hospital_id,hour,weekday,patient_count,emergency_count,wait_minutes
city_general,0,0,1,0,3
st_marys,0,0,15,5,8
metrocare,0,0,22,4,6
govt_hospital,0,0,4,0,8
city_general,1,0,7,2,0
st_marys,1,0,22,5,4
metrocare,1,0,36,0,9
govt_hospital,1,0,11,3,4
city_general,2,0,32,2,10
st_marys,2,0,36,4,12
metrocare,2,0,26,1,7
govt_hospital,2,0,11,0,8
city_general,3,0,37,5,10
st_marys,3,0,17,0,8
metrocare,3,0,1,0,1
govt_hospital,3,0,12,1,7
city_general,4,0,21,0,5
st_marys,4,0,19,0,3
metrocare,4,0,1,0,6
govt_hospital,4,0,35,7,9
city_general,5,0,18,0,0
st_marys,5,0,26,0,4
metrocare,5,0,28,3,7
govt_hospital,5,0,30,2,6
city_general,6,0,7,1,3
st_marys,6,0,23,8,11
metrocare,6,0,18,3,2
govt_hospital,6,0,22,0,5
city_general,7,0,23,2,9
st_marys,7,0,25,0,2
metrocare,7,0,22,0,8
govt_hospital,7,0,1,1,3
city_general,8,0,51,8,7
st_marys,8,0,53,6,8
metrocare,8,0,62,5,4
govt_hospital,8,0,72,16,2
city_general,9,0,55,5,16
st_marys,9,0,65,5,14
metrocare,9,0,69,10,15
govt_hospital,9,0,67,13,5
city_general,10,0,68,7,11
st_marys,10,0,57,15,10
metrocare,10,0,52,5,5
govt_hospital,10,0,46,10,5
city_general,11,0,45,5,-2
st_marys,11,0,73,14,18
metrocare,11,0,57,8,15
govt_hospital,11,0,85,14,16
city_general,12,0,15,0,1
st_marys,12,0,9,0,2
metrocare,12,0,13,0,11
govt_hospital,12,0,19,4,3
city_general,13,0,26,1,16
st_marys,13,0,16,1,6
metrocare,13,0,10,0,8
govt_hospital,13,0,35,5,8
city_general,14,0,19,6,7
st_marys,14,0,18,8,5
metrocare,14,0,31,6,12
govt_hospital,14,0,19,3,4
city_general,15,0,12,1,3
st_marys,15,0,22,0,5
metrocare,15,0,29,3,5
govt_hospital,15,0,13,1,5
city_general,16,0,40,5,6
st_marys,16,0,35,3,0
metrocare,16,0,1,2,7
govt_hospital,16,0,12,2,0
city_general,17,0,68,6,21
st_marys,17,0,63,7,14
metrocare,17,0,64,12,10
govt_hospital,17,0,48,5,13
city_general,18,0,68,9,14
st_marys,18,0,70,11,13
metrocare,18,0,69,9,11
govt_hospital,18,0,85,16,15
city_general,19,0,54,9,11
st_marys,19,0,74,12,20
metrocare,19,0,78,9,6
govt_hospital,19,0,63,8,16
city_general,20,0,66,9,10
st_marys,20,0,62,8,12
metrocare,20,0,68,8,4
govt_hospital,20,0,71,8,14
city_general,21,0,29,2,10
st_marys,21,0,12,5,7
metrocare,21,0,14,0,5
govt_hospital,21,0,14,0,6
city_general,22,0,42,6,10
st_marys,22,0,22,4,-3
metrocare,22,0,18,9,14
govt_hospital,22,0,1,0,4
city_general,23,0,29,6,6
st_marys,23,0,15,2,3
metrocare,23,0,15,8,5
govt_hospital,23,0,16,0,0
city_general,0,1,28,6,9
st_marys,0,1,7,4,0
metrocare,0,1,18,3,3
govt_hospital,0,1,33,3,8
city_general,1,1,23,4,9
st_marys,1,1,20,1,4
metrocare,1,1,13,2,7
govt_hospital,1,1,16,4,10
city_general,2,1,11,3,7
st_marys,2,1,27,6,12
metrocare,2,1,15,0,0
govt_hospital,2,1,14,4,0
city_general,3,1,13,6,12
st_marys,3,1,18,4,7
metrocare,3,1,19,5,0
govt_hospital,3,1,24,6,9
city_general,4,1,16,0,10
st_marys,4,1,18,8,6
metrocare,4,1,13,0,7
govt_hospital,4,1,18,0,11
city_general,5,1,6,0,4
st_marys,5,1,14,5,8
metrocare,5,1,35,6,11
govt_hospital,5,1,2,0,12
city_general,6,1,9,2,5
st_marys,6,1,7,6,3
metrocare,6,1,17,0,12
govt_hospital,6,1,25,2,7
city_general,7,1,1,0,2
st_marys,7,1,25,2,8
metrocare,7,1,27,5,8
govt_hospital,7,1,28,4,2
city_general,8,1,69,13,11
st_marys,8,1,55,4,13
metrocare,8,1,61,9,12
govt_hospital,8,1,70,6,15
city_general,9,1,68,13,6
st_marys,9,1,60,7,7
metrocare,9,1,68,9,13
govt_hospital,9,1,49,11,9
city_general,10,1,58,10,15
st_marys,10,1,47,11,10
metrocare,10,1,77,9,12
govt_hospital,10,1,52,14,10
city_general,11,1,79,8,21
st_marys,11,1,59,7,13
metrocare,11,1,61,6,20
govt_hospital,11,1,85,8,14
city_general,12,1,4,0,2
st_marys,12,1,30,4,5
metrocare,12,1,13,0,1
govt_hospital,12,1,4,1,5
city_general,13,1,32,3,11
st_marys,13,1,12,1,3
metrocare,13,1,32,9,14
govt_hospital,13,1,13,0,10
city_general,14,1,21,0,15
st_marys,14,1,24,4,1
metrocare,14,1,26,5,10
govt_hospital,14,1,28,5,0
city_general,15,1,3,0,3
st_marys,15,1,14,3,8
metrocare,15,1,6,2,10
govt_hospital,15,1,26,0,5
city_general,16,1,24,0,7
st_marys,16,1,25,4,10
metrocare,16,1,24,8,5
govt_hospital,16,1,16,2,3
city_general,17,1,49,10,10
st_marys,17,1,70,15,11
metrocare,17,1,77,4,9
govt_hospital,17,1,63,10,7
city_general,18,1,57,8,12
st_marys,18,1,72,12,9
metrocare,18,1,86,13,9
govt_hospital,18,1,60,9,7
city_general,19,1,64,8,7
st_marys,19,1,77,8,2
metrocare,19,1,76,14,3
govt_hospital,19,1,71,5,10
city_general,20,1,71,12,11
st_marys,20,1,54,3,16
metrocare,20,1,64,12,6
govt_hospital,20,1,53,9,11
city_general,21,1,27,7,13
st_marys,21,1,30,7,0
metrocare,21,1,22,1,7
govt_hospital,21,1,17,2,5
city_general,22,1,35,5,8
st_marys,22,1,24,0,6
metrocare,22,1,13,2,12
govt_hospital,22,1,35,3,3
city_general,23,1,13,2,6
st_marys,23,1,12,2,8
metrocare,23,1,16,0,0
govt_hospital,23,1,32,4,5
city_general,0,2,1,3,3
st_marys,0,2,37,5,6
metrocare,0,2,31,1,4
govt_hospital,0,2,13,5,3
city_general,1,2,28,0,12
st_marys,1,2,9,0,11
metrocare,1,2,21,3,3
govt_hospital,1,2,25,3,2
city_general,2,2,21,4,5
